CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,DOC,class
38,1,35,10,30,2,1,0,33,8,29,1,1,1,1,0,0.06,1,1,133,4,1
54,10,25,9,20,19,1,0,20,8,16,1,1,1,1,0,0.76,2,2,56,4,1
40,2,31,11,24,7,1,0,29,10,23,1,1,1,1,0,0.23,1,1,33,4,1
17,0,10,4,6,7,1,0,10,4,6,1,1,1,1,0,0.7,1,1,10,4,1
29,0,29,8,25,0,1,0,29,7,25,1,1,1,1,0,0,1,1,62,4,1
15,0,12,5,8,3,1,0,11,4,8,1,1,1,1,0,0.25,2,1,49,3,0
15,1,11,5,9,3,1,0,11,5,9,1,1,1,1,0,0.27,5,3,6,2,0
26,0,19,6,15,7,4,1,11,5,9,3,3,3,1,1,0.37,1,1,426,2,0
20,5,6,4,4,9,1,0,6,4,4,1,1,1,1,0,1.5,1,1,37,2,0
7,0,7,2,5,0,1,0,7,2,5,1,1,1,1,0,0,2,2,677,2,0
13,2,11,2,9,0,1,0,10,2,8,1,1,1,1,0,0,6,6,63,2,0
35,5,30,5,25,0,1,0,30,5,25,1,1,1,1,0,0,1,1,89,2,0
61,10,47,22,31,4,4,1,36,9,31,4,4,4,4,2,0.09,12,12,25,3,1
16,0,13,8,11,3,1,0,12,8,10,1,1,1,1,0,0.23,1,1,65,2,0
25,7,17,12,14,1,1,0,17,12,14,1,1,1,1,0,0.06,0,0,28,2,0
14,4,10,4,9,0,4,1,12,4,10,4,4,4,4,1,0,1,1,108,2,0
6,0,6,2,4,0,1,0,4,2,2,1,1,1,1,0,0,1,1,2319,2,0
17,2,15,5,11,0,2,0,13,5,9,2,2,2,1,1,0,3,1,286,3,0
9,0,9,5,6,0,2,0,8,5,5,2,2,2,1,1,0,3,1,955,3,0
91,12,68,16,66,11,504,3,53,16,51,15,15,17,3,3,0.16,1,1,61,2,0
69,1,54,10,52,14,7,1,44,10,42,7,7,12,5,2,0.26,1,1,107,2,0
117,14,60,15,54,43,2,0,27,10,25,2,2,2,1,1,0.72,11,11,1438,2,0
37,4,30,5,28,3,90,2,30,5,28,10,10,10,1,3,0.1,3,3,815,2,0
45,5,29,7,25,14,4,1,21,7,17,3,3,3,1,1,0.48,2,2,13,2,0
71,12,39,16,34,21,1,0,35,16,30,1,1,1,1,0,0.54,4,4,25,4,1
6,0,6,3,3,0,1,0,6,3,3,1,1,1,1,0,0,1,1,566,2,0
19,0,19,4,17,0,1,0,9,4,7,1,1,1,1,0,0,1,1,391,2,0
14,0,14,5,10,0,1,0,9,4,6,1,1,1,1,0,0,1,1,15,3,0
18,2,16,6,12,0,1,0,12,5,10,1,1,1,1,0,0,1,1,66,2,0
5,0,5,3,2,0,1,0,4,2,2,1,1,1,1,0,0,1,1,112,2,0
7,0,6,4,4,1,1,0,6,4,4,1,1,1,1,0,0.17,1,1,74,2,0
7,0,6,4,4,1,1,0,6,4,4,1,1,1,1,0,0.17,1,1,82,2,0
14,3,11,6,7,1,1,0,11,6,7,1,1,1,1,0,0.09,1,1,22,4,1
17,3,14,7,9,2,1,0,14,7,9,1,1,1,1,0,0.14,1,1,51,5,1
12,2,10,6,6,1,1,0,10,6,6,1,1,1,1,0,0.1,1,1,98,4,1
19,3,14,8,9,4,1,0,14,8,9,1,1,1,1,0,0.29,1,1,111,4,1
15,2,13,6,9,0,1,0,13,6,9,1,1,1,1,0,0,1,1,464,4,1
15,0,15,7,11,0,1,0,15,7,11,1,1,1,1,0,0,0,0,46,4,1
55,5,38,10,32,12,1,0,31,9,26,1,1,1,1,0,0.32,2,2,218,5,1
