CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxNesting,RatioCommentToCode,number of parameter,"number of parameter without *args, **kargs",lineno,PAR,class
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,321,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,79,4,0
5,0,5,1,4,0,3,0,4,1,3,3,3,3,1,1,0,4,4,45,4,0
20,5,5,2,4,10,1,0,5,2,4,2,2,2,1,0,2,4,4,195,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,51,4,0
5,0,5,1,4,0,3,0,4,1,3,3,3,3,1,1,0,4,4,56,4,0
10,0,10,2,9,0,3,0,9,2,8,3,3,3,1,1,0,4,4,58,4,0
3,0,3,1,2,0,2,0,3,1,2,2,2,2,1,1,0,4,4,40,4,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,4,3,138,4,0
4,0,4,1,3,0,2,0,4,1,3,2,2,2,1,1,0,4,4,95,4,0
81,11,12,5,11,58,2,0,8,5,7,2,2,2,1,1,4.83,4,4,661,3,0
7,0,7,3,6,0,3,0,5,3,4,3,3,3,1,1,0,4,4,66,4,0
14,3,4,2,3,7,1,0,3,2,2,1,1,1,1,0,1.75,3,3,210,3,0
102,13,20,6,15,69,12,1,11,2,10,5,5,5,1,2,3.45,8,8,559,4,1
23,4,8,3,6,11,1,0,3,2,2,1,1,1,1,0,1.38,3,3,1276,3,0
13,2,4,2,3,7,1,0,3,2,2,1,1,1,1,0,1.75,3,3,267,3,0
3,0,3,3,2,0,1,0,3,3,2,1,1,1,1,0,0,3,3,99,3,0
4,0,2,1,1,2,1,0,2,1,1,1,1,1,1,0,1,4,3,498,4,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,4,3,774,4,0
5,0,2,1,1,3,1,0,2,1,1,1,1,1,1,0,1.5,4,3,1025,4,0
8,0,8,2,7,0,3,0,7,2,6,3,3,3,1,2,0,3,1,125,3,0
17,0,12,3,11,5,4,1,12,3,11,3,3,3,1,1,0.42,5,5,92,5,1
13,0,13,1,12,0,6,1,8,1,7,6,6,6,1,1,0,4,4,56,4,0
17,3,4,2,3,10,1,0,3,2,2,1,1,1,1,0,2.5,3,3,1164,3,0
111,14,27,5,23,70,32,2,13,2,12,6,6,6,1,1,2.59,8,8,806,3,0
77,13,12,5,8,52,1,0,4,2,3,1,1,1,1,0,4.33,13,13,70,4,1
13,2,4,2,3,7,3,0,4,2,3,3,3,3,3,2,1.75,3,3,412,3,0
119,14,89,14,88,16,11581440,7,77,14,76,29,29,38,7,3,0.18,5,5,768,5,1
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,10,4,0
17,0,17,2,16,0,8,1,10,2,9,8,8,8,1,1,0,4,4,299,4,0
15,0,15,6,13,0,11,1,15,6,13,6,6,6,3,2,0,3,3,110,3,0
20,3,17,6,15,0,16,1,15,6,13,5,5,5,3,1,0,5,5,344,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,33,4,0
13,0,13,1,12,0,6,1,8,1,7,6,6,6,1,1,0,4,4,80,4,0
20,3,5,1,4,12,1,0,2,1,1,1,1,1,1,0,2.4,3,3,1472,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,4,4,154,4,0
28,6,4,2,2,18,1,0,2,1,1,1,1,1,1,0,4.5,4,4,337,3,0
20,0,19,4,17,1,4,1,10,3,9,4,4,4,4,3,0.05,7,7,88,5,1
3,0,2,1,1,1,1,0,2,1,1,1,1,1,1,0,0.5,3,1,9,3,0
12,0,12,4,11,0,2,0,12,3,11,2,2,2,1,2,0,4,4,50,3,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,5,5,78,4,1
4,0,4,1,3,0,2,0,5,1,4,2,2,2,1,1,0,3,3,138,3,0
15,1,12,2,11,2,4,1,10,2,9,3,3,3,3,1,0.17,3,1,688,3,0
10,1,5,2,4,4,2,0,5,2,4,2,2,3,1,1,0.8,3,1,400,3,0
5,0,4,1,3,1,1,0,4,1,3,1,1,1,1,0,0.25,3,3,245,3,0
37,8,23,4,22,6,49,2,22,4,21,8,8,9,4,2,0.26,4,4,129,4,0
2,0,2,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,3,141,3,0
7,1,4,2,2,2,1,0,3,1,2,1,1,1,1,0,0.5,7,7,333,3,0
57,9,4,3,3,44,1,0,4,3,3,1,1,1,1,0,11,4,2,649,3,0
46,5,41,6,40,0,13,1,31,6,30,6,6,6,4,3,0,4,3,221,3,0
5,0,5,1,4,0,2,0,4,1,3,2,2,2,1,1,0,3,3,108,3,0
28,4,24,8,21,0,44,2,21,6,20,8,8,8,1,3,0,8,8,2873,5,1
